"","CLOSEST.ZONES_RANK","ZONE.ID.TAZ","MetroStnFullPt.NAME","MetroStnFullPt.LINE","DistanceMiles"
"1",1,1750,"Van Dorn Street",1,0.374319426753473
"2",2,1480,"Van Dorn Street",1,0.517730356484323
"3",3,1748,"Van Dorn Street",1,0.595620093619005
"4",4,1488,"Van Dorn Street",1,0.711835839685132
"5",5,1751,"Van Dorn Street",1,0.801816105060027
"6",6,1749,"Van Dorn Street",1,0.932113003750514
"7",7,1763,"Van Dorn Street",1,0.992591203494232
"8",8,1746,"Van Dorn Street",1,1.12158265328751
"9",9,1574,"Van Dorn Street",1,1.28357016580666
"10",10,1479,"Van Dorn Street",1,1.32546424447552
"11",11,1483,"Van Dorn Street",1,1.38581849188941
"12",12,1478,"Van Dorn Street",1,1.3876179419163
"13",13,1745,"Van Dorn Street",1,1.58059912425898
"14",14,1747,"Van Dorn Street",1,1.58717988991473
"15",15,1575,"Van Dorn Street",1,1.59170536224806
"16",16,1770,"Van Dorn Street",1,1.59830361079826
"17",17,1752,"Van Dorn Street",1,1.62908977812594
"18",18,1742,"Van Dorn Street",1,1.63871949011135
"19",19,1561,"Van Dorn Street",1,1.95715983627159
"20",20,2104,"Van Dorn Street",1,1.97102657271567
"21",21,1744,"Van Dorn Street",1,2.04488570862824
"22",22,1576,"Van Dorn Street",1,2.06367140804785
"23",23,1481,"Van Dorn Street",1,2.09548597669182
"24",24,1769,"Van Dorn Street",1,2.101620665699
"25",25,1568,"Van Dorn Street",1,2.20337568720897
"26",26,1462,"Van Dorn Street",1,2.3306656914736
"27",27,1743,"Van Dorn Street",1,2.35607100652798
"28",28,1461,"Van Dorn Street",1,2.35800859851284
"29",29,1774,"Van Dorn Street",1,2.4561422163969
"30",30,1562,"Van Dorn Street",1,2.48129065357303
"31",31,1740,"Van Dorn Street",1,2.49102167575039
"32",32,1563,"Van Dorn Street",1,2.50230814426212
"33",33,1773,"Van Dorn Street",1,2.52906871296348
"34",34,1775,"Van Dorn Street",1,2.53874481277952
"35",35,1456,"Van Dorn Street",1,2.66892269717552
"36",36,1571,"Van Dorn Street",1,2.67526705664198
"37",37,1772,"Van Dorn Street",1,2.80685928023197
"38",38,1731,"Van Dorn Street",1,2.85849743546152
"39",39,1780,"Van Dorn Street",1,2.86222999179602
"40",40,1816,"Van Dorn Street",1,2.87914060542513
"41",41,1498,"Van Dorn Street",1,2.91932120633729
"42",42,1454,"Van Dorn Street",1,3.00091985483795
"43",43,1768,"Van Dorn Street",1,3.07836951472321
"44",44,1455,"Van Dorn Street",1,3.0791347461585
"45",45,1733,"Van Dorn Street",1,3.09437252963625
"46",46,1760,"Van Dorn Street",1,3.10170299245229
"47",47,1567,"Van Dorn Street",1,3.11461925868816
"48",48,1817,"Van Dorn Street",1,3.19674932479463
"49",49,1541,"Van Dorn Street",1,3.23818988279034
"50",50,1512,"Van Dorn Street",1,3.27575337095534
"51",51,1509,"Van Dorn Street",1,3.2775582082688
"52",52,1573,"Van Dorn Street",1,3.28318976572083
"53",53,1453,"Van Dorn Street",1,3.30010292759242
"54",54,1820,"Van Dorn Street",1,3.35578565874001
"55",55,1499,"Van Dorn Street",1,3.36594857228736
"56",56,1739,"Van Dorn Street",1,3.38693660439872
"57",57,1482,"Van Dorn Street",1,3.38873089456082
"58",58,1741,"Van Dorn Street",1,3.41881364319755
"59",59,1781,"Van Dorn Street",1,3.43413306674688
"60",60,1821,"Van Dorn Street",1,3.44821469440937
"61",61,1504,"Van Dorn Street",1,3.46012814241575
"62",62,1564,"Van Dorn Street",1,3.46669812604191
"63",63,1732,"Van Dorn Street",1,3.55098139738475
"64",64,1818,"Van Dorn Street",1,3.55125648578291
"65",65,2102,"Van Dorn Street",1,3.60486063151613
"66",66,1771,"Van Dorn Street",1,3.7079278599543
"67",67,1785,"Van Dorn Street",1,3.70968340825592
"68",68,1730,"Van Dorn Street",1,3.73295703490892
"69",69,1476,"Van Dorn Street",1,3.75035808051268
"70",70,1764,"Van Dorn Street",1,3.80219777804745
"71",71,1502,"Van Dorn Street",1,3.90506255387189
"72",72,1477,"Van Dorn Street",1,3.91468392457298
"73",73,1822,"Van Dorn Street",1,3.93434408934282
"74",74,2103,"Van Dorn Street",1,3.9579598024793
"75",75,1738,"Van Dorn Street",1,3.98412159198747
"76",76,1784,"Van Dorn Street",1,3.98462309057964
"77",77,1511,"Van Dorn Street",1,4.01666015291621
"78",78,1501,"Van Dorn Street",1,4.04020825281006
