,CLOSEST.ZONES_RANK,ZONE.ID.TAZ,MetroStnFullPt.NAME,MetroStnFullPt.LINE,DistanceMiles
1,1,1750,Van Dorn Street,1,0.374319427
2,2,1480,Van Dorn Street,1,0.517730356
3,3,1748,Van Dorn Street,1,0.595620094
4,4,1488,Van Dorn Street,1,0.71183584
5,5,1751,Van Dorn Street,1,0.801816105
6,6,1749,Van Dorn Street,1,0.932113004
7,7,1763,Van Dorn Street,1,0.992591203
8,8,1746,Van Dorn Street,1,1.121582653
9,9,1574,Van Dorn Street,1,1.283570166
10,10,1479,Van Dorn Street,1,1.325464244
11,11,1483,Van Dorn Street,1,1.385818492
12,12,1478,Van Dorn Street,1,1.387617942
13,13,1745,Van Dorn Street,1,1.580599124
14,14,1747,Van Dorn Street,1,1.58717989
15,15,1575,Van Dorn Street,1,1.591705362
16,16,1770,Van Dorn Street,1,1.598303611
17,17,1752,Van Dorn Street,1,1.629089778
18,18,1742,Van Dorn Street,1,1.63871949
19,19,1561,Van Dorn Street,1,1.957159836
20,20,2104,Van Dorn Street,1,1.971026573
21,21,1744,Van Dorn Street,1,2.044885709
22,22,1576,Van Dorn Street,1,2.063671408
23,23,1481,Van Dorn Street,1,2.095485977
24,24,1769,Van Dorn Street,1,2.101620666
25,25,1568,Van Dorn Street,1,2.203375687
26,26,1462,Van Dorn Street,1,2.330665691
27,27,1743,Van Dorn Street,1,2.356071007
28,28,1461,Van Dorn Street,1,2.358008599
29,29,1774,Van Dorn Street,1,2.456142216
30,30,1562,Van Dorn Street,1,2.481290654
31,31,1740,Van Dorn Street,1,2.491021676
32,32,1563,Van Dorn Street,1,2.502308144
33,33,1773,Van Dorn Street,1,2.529068713
34,34,1775,Van Dorn Street,1,2.538744813
35,35,1456,Van Dorn Street,1,2.668922697
36,36,1571,Van Dorn Street,1,2.675267057
37,37,1772,Van Dorn Street,1,2.80685928
38,38,1731,Van Dorn Street,1,2.858497435
39,39,1780,Van Dorn Street,1,2.862229992
40,40,1816,Van Dorn Street,1,2.879140605
41,41,1498,Van Dorn Street,1,2.919321206
42,42,1454,Van Dorn Street,1,3.000919855
43,43,1768,Van Dorn Street,1,3.078369515
44,44,1455,Van Dorn Street,1,3.079134746
45,45,1733,Van Dorn Street,1,3.09437253
46,46,1760,Van Dorn Street,1,3.101702992
47,47,1567,Van Dorn Street,1,3.114619259
48,48,1817,Van Dorn Street,1,3.196749325
49,49,1541,Van Dorn Street,1,3.238189883
50,50,1512,Van Dorn Street,1,3.275753371
51,51,1509,Van Dorn Street,1,3.277558208
52,52,1573,Van Dorn Street,1,3.283189766
53,53,1453,Van Dorn Street,1,3.300102928
54,54,1820,Van Dorn Street,1,3.355785659
55,55,1499,Van Dorn Street,1,3.365948572
56,56,1739,Van Dorn Street,1,3.386936604
57,57,1482,Van Dorn Street,1,3.388730895
58,58,1741,Van Dorn Street,1,3.418813643
59,59,1781,Van Dorn Street,1,3.434133067
60,60,1821,Van Dorn Street,1,3.448214694
61,61,1504,Van Dorn Street,1,3.460128142
62,62,1564,Van Dorn Street,1,3.466698126
63,63,1732,Van Dorn Street,1,3.550981397
64,64,1818,Van Dorn Street,1,3.551256486
65,65,2102,Van Dorn Street,1,3.604860632
66,66,1771,Van Dorn Street,1,3.70792786
67,67,1785,Van Dorn Street,1,3.709683408
68,68,1730,Van Dorn Street,1,3.732957035
69,69,1476,Van Dorn Street,1,3.750358081
70,70,1764,Van Dorn Street,1,3.802197778
71,71,1502,Van Dorn Street,1,3.905062554
72,72,1477,Van Dorn Street,1,3.914683925
73,73,1822,Van Dorn Street,1,3.934344089
74,74,2103,Van Dorn Street,1,3.957959802
75,75,1738,Van Dorn Street,1,3.984121592
76,76,1784,Van Dorn Street,1,3.984623091
77,77,1511,Van Dorn Street,1,4.016660153
78,78,1501,Van Dorn Street,1,4.040208253
79,79,1572,Van Dorn Street,1,4.064469226
80,80,1510,Van Dorn Street,1,4.076144242
81,81,1755,Van Dorn Street,1,4.076678879
82,82,1542,Van Dorn Street,1,4.095320513
83,83,1533,Van Dorn Street,1,4.123927687
84,84,1761,Van Dorn Street,1,4.133146191
85,85,1819,Van Dorn Street,1,4.166787027
86,86,1475,Van Dorn Street,1,4.218678899
87,87,1782,Van Dorn Street,1,4.223756799
88,88,1500,Van Dorn Street,1,4.246215306
89,89,1565,Van Dorn Street,1,4.257427356
90,90,1852,Van Dorn Street,1,4.261982687
91,91,1815,Van Dorn Street,1,4.315380706
92,92,1787,Van Dorn Street,1,4.359554216
